id	name	namespace	UPS1_mean	UPS2_mean	UPS1_01	UPS1_02	UPS1_03	UPS1_04	UPS2_01	UPS2_02	UPS2_03	UPS2_04	UPS1_01_n_peptide	UPS1_02_n_peptide	UPS1_03_n_peptide	UPS1_04_n_peptide	UPS2_01_n_peptide	UPS2_02_n_peptide	UPS2_03_n_peptide	UPS2_04_n_peptide	UPS1_01_n_samp_children	UPS1_02_n_samp_children	UPS1_03_n_samp_children	UPS1_04_n_samp_children	UPS2_01_n_samp_children	UPS2_02_n_samp_children	UPS2_03_n_samp_children	UPS2_04_n_samp_children
GO:0000002	mitochondrial genome maintenance	biological_process	21.782346379307086	21.824774759391488	22.52217895993766	21.879708002403166	NA	19.840054524495464	21.583812037536788	22.385217373697966	NA	21.26646634425247	1.0	1.0	NA	1.0	1.0	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000003	reproduction	biological_process	26.929583525647377	26.54035186741873	27.684498409110006	27.302936134497866	24.840260671947263	26.575040714334637	26.827732896617828	27.021599151036412	25.849569480551832	26.15220298782093	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000006	high-affinity zinc transmembrane transporter activity	molecular_function	20.041342009280633	19.650036540453332	19.46305318760168	16.272493137350317	20.51243540918401	20.944937173197346	NA	20.19788179301106	NA	18.755981056559524	1.0	1.0	1.0	1.0	NA	1.0	NA	1.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000015	phosphopyruvate hydratase complex	cellular_component	32.21748860972233	32.210886641828765	32.21221680228153	32.37521311787421	32.08870049019467	32.17877377575539	32.29701371127931	32.18310199004512	32.21254466484511	32.14658470031882	49.0	53.0	47.0	53.0	53.0	48.0	51.0	48.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000018	regulation of DNA recombination	biological_process	27.03061141085206	27.483149213837798	26.90357435336813	26.997445386254583	27.196058651921387	27.0095433469578	27.088939673562386	27.317711627711653	27.745287142339723	27.682499605739043	33.0	37.0	25.0	35.0	35.0	32.0	36.0	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000023	maltose metabolic process	biological_process	24.794175151851107	25.205074887574213	24.844483301790333	24.88535949430987	24.445374098224686	24.949967411523772	25.425527244011768	25.010520034734775	25.136477130406416	25.215846562860627	12.0	13.0	9.0	11.0	12.0	12.0	12.0	13.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
GO:0000025	maltose catabolic process	biological_process	24.794175151851107	25.205074887574213	24.844483301790333	24.88535949430987	24.445374098224686	24.949967411523772	25.425527244011768	25.010520034734775	25.136477130406416	25.215846562860627	12.0	13.0	9.0	11.0	12.0	12.0	12.0	13.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000027	ribosomal large subunit assembly	biological_process	33.1019316921418	33.09009834513402	33.10024461411578	33.158712120546255	32.9880797312228	33.15422148945965	33.159661183374695	33.104135272670206	32.98070758313429	33.10993512591542	148.0	153.0	141.0	147.0	151.0	142.0	132.0	142.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000028	ribosomal small subunit assembly	biological_process	34.02029826846069	34.001287941444694	34.06999587977723	34.11987411522677	33.84034548611	34.03574124542949	34.1598984909935	33.90659723967929	34.017934582163306	33.905421321797256	160.0	166.0	155.0	155.0	164.0	156.0	156.0	154.0	NA	NA	NA	NA	NA	NA	NA	NA
GO:0000032	cell wall mannoprotein biosynthetic process	biological_process	21.713857761605702	21.7902827944173	20.836796916880843	21.376804123894402	21.161022890204148	22.7009520721586	22.12063138917571	21.085829905154622	22.52389701546061	20.68932904929776	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA
