id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children	log2fc_NS_over_WS	p	corrected_p
GO:0000015	phosphopyruvate hydratase complex	cellular_component	25.168691917755066	26.45831050878883	24.75548259720653	26.543321455294556	24.678264477891393	27.07447707384193	25.789029486400896	25.159663649000212	6.0	5.0	6.0	6.0	6.0	5.0	NA	NA	NA	NA	NA	NA	-1.289618591033765	0.153461468882962	0.2424860779034648
GO:0000027	ribosomal large subunit assembly	biological_process	25.444437108866676	25.228190424648524	25.76378508687027	23.77259691817897	25.09323129732111	23.64832060070225	25.397970394878946	26.430377966174827	6.0	4.0	7.0	7.0	5.0	4.0	NA	NA	NA	NA	NA	NA	0.2162466842181523	0.4365360158470382	0.5494447066859026
GO:0000028	ribosomal small subunit assembly	biological_process	23.105907294199167	23.94396292972822	23.19810276180925	23.92230094809389	23.05003844107072	23.041185398555303	23.064926523167426	24.50960569110506	6.0	4.0	4.0	4.0	6.0	4.0	NA	NA	NA	NA	NA	NA	-0.8380556355290523	0.16881785603171326	0.2638355564211475
GO:0000049	tRNA binding	molecular_function	25.324872971340426	26.08156030830496	25.28763724232842	26.225134161994077	25.180973754366807	26.0257527895186	25.488899642706947	25.981982464570326	18.0	18.0	23.0	23.0	22.0	18.0	NA	NA	NA	NA	NA	NA	-0.7566873369645357	0.00294307424197266	0.032102010925530784
GO:0000096	sulfur amino acid metabolic process	biological_process	20.735702524224827	22.582187534340378	20.494005767477024	22.079139432672868	21.275804550828397	22.77789099410225	20.22148918914665	22.782695829341588	3.0	5.0	5.0	6.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	-1.8464850101155506	0.008707398190660501	0.046547960421101
GO:0000097	sulfur amino acid biosynthetic process	biological_process	20.686783670226728	22.486665420567714	20.494005767477024	22.05197895106844	21.275804550828397	22.694711998437306	19.999112019174067	22.630741033033363	3.0	4.0	5.0	5.0	1.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	-1.7998817503409867	0.011621725097677539	0.05274442009574331
GO:0000104	succinate dehydrogenase activity	molecular_function	23.43406619669936	24.95901654767852	23.76488783868241	25.343418785222287	23.15655435897833	22.997657552632308	23.30946547841598	25.482974589086066	4.0	2.0	4.0	4.0	4.0	3.0	NA	NA	NA	NA	NA	NA	-1.5249503509791609	0.2209471910452954	0.33084239077986644
GO:0000166	nucleotide binding	molecular_function	29.15737442049734	30.193291708568395	28.927252863498158	29.87317514069169	29.129890164195572	30.40061363081261	29.37932233737681	30.25603766871773	181.0	207.0	236.0	262.0	234.0	210.0	5.0	5.0	5.0	5.0	5.0	5.0	-1.0359172880710545	0.007280604994953614	0.04082849075601438
GO:0000287	magnesium ion binding	molecular_function	26.722253955967197	28.17394132927803	26.950320644066487	27.82693718978384	26.122376333271408	28.73695125701984	26.947437257624017	27.732574825515428	40.0	40.0	45.0	51.0	52.0	39.0	NA	NA	NA	NA	NA	NA	-1.4516873733108326	0.027929753417299013	0.07006938138024138
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	23.143554219204642	23.506156263381104	23.30592288901328	23.575681222612754	22.822256697053753	24.22102307198421	23.255289624522728	21.813222044981718	7.0	6.0	6.0	8.0	7.0	5.0	NA	NA	NA	NA	NA	NA	-0.36260204417646236	0.9232219076682152	0.9413242980146509
