id	name	namespace	NS_mean	WS_mean	X737NS	X737WS	X852NS	X852WS	X867NS	X867WS	X737NS_n_peptide	X737WS_n_peptide	X852NS_n_peptide	X852WS_n_peptide	X867NS_n_peptide	X867WS_n_peptide	X737NS_n_samp_children	X737WS_n_samp_children	X852NS_n_samp_children	X852WS_n_samp_children	X867NS_n_samp_children	X867WS_n_samp_children
GO:0000015	phosphopyruvate hydratase complex	cellular_component	25.168691917755066	26.45831050878883	24.75548259720653	26.543321455294556	24.67826447789139	27.07447707384193	25.789029486400896	25.159663649000212	6.0	5.0	6.0	6.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000027	ribosomal large subunit assembly	biological_process	25.444437108866673	25.228190424648524	25.76378508687027	23.77259691817897	25.09323129732111	23.648320600702252	25.397970394878946	26.430377966174827	6.0	4.0	7.0	7.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000028	ribosomal small subunit assembly	biological_process	23.105907294199163	23.94396292972822	23.19810276180925	23.92230094809389	23.05003844107072	23.041185398555303	23.064926523167426	24.50960569110506	6.0	4.0	4.0	4.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000049	tRNA binding	molecular_function	25.324872971340426	26.08156030830496	25.28763724232842	26.225134161994077	25.180973754366807	26.0257527895186	25.488899642706947	25.981982464570326	18.0	18.0	23.0	23.0	22.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000096	sulfur amino acid metabolic process	biological_process	20.735702524224827	22.582187534340378	20.494005767477024	22.079139432672868	21.275804550828397	22.77789099410225	20.22148918914665	22.78269582934159	3.0	5.0	5.0	6.0	2.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0
GO:0000097	sulfur amino acid biosynthetic process	biological_process	20.686783670226728	22.486665420567714	20.494005767477024	22.05197895106844	21.275804550828397	22.694711998437306	19.999112019174067	22.630741033033363	3.0	4.0	5.0	5.0	1.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	23.43406619669936	24.95901654767852	23.764887838682412	25.343418785222287	23.15655435897833	22.997657552632308	23.30946547841598	25.482974589086066	4.0	2.0	4.0	4.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000166	nucleotide binding	molecular_function	29.15737442049734	30.193291708568395	28.927252863498158	29.87317514069169	29.129890164195572	30.40061363081261	29.37932233737681	30.25603766871773	181.0	207.0	236.0	262.0	234.0	210.0	5.0	5.0	5.0	5.0	5.0	5.0
GO:0000287	magnesium ion binding	molecular_function	26.722253955967197	28.17394132927803	26.950320644066487	27.82693718978384	26.122376333271408	28.73695125701984	26.947437257624017	27.732574825515425	40.0	40.0	45.0	51.0	52.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	23.143554219204642	23.506156263381104	23.30592288901328	23.575681222612754	22.822256697053753	24.22102307198421	23.255289624522728	21.813222044981718	7.0	6.0	6.0	8.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	biological_process	25.619157432612585	25.295342085930496	26.095338569902147	24.906256216480237	25.232775870264767	25.36710603537391	25.37429688772296	25.540698729996627	4.0	3.0	5.0	5.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0001882	nucleoside binding	molecular_function	26.76263646621337	27.35928516732513	26.499709498535232	26.99846785027424	26.88280441258455	27.380741079615674	26.87332473341439	27.629866091584	46.0	50.0	54.0	59.0	55.0	47.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0002161	aminoacyl-tRNA editing activity	molecular_function	20.679659895673087	22.55409779723287	19.64217472455539	22.640289806954733	20.424608952146748	22.805916566847795	21.423706003621376	22.134683746225107	3.0	6.0	7.0	8.0	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0002181	cytoplasmic translation	biological_process	24.35472560437373	25.69928397663519	24.833718997422267	25.497065985910048	23.533922781008094	25.533288486250072	24.41145107103931	26.009011410100182	6.0	5.0	6.0	7.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0003674	molecular_function	molecular_function	31.81760258807589	32.53939631955429	31.83038903014164	32.31197982041182	31.541866578775377	32.726675662971786	32.0380178892393	32.549778613189766	1241.0	1387.0	1544.0	1702.0	1533.0	1372.0	11.0	11.0	10.0	10.0	11.0	11.0
GO:0003676	nucleic acid binding	molecular_function	28.95688915448405	29.651530667000976	29.053835381559264	29.451085638263233	28.673681364029942	29.730355531062752	29.10579847786357	29.753934201895326	193.0	195.0	223.0	240.0	224.0	195.0	3.0	3.0	3.0	3.0	3.0	3.0
GO:0003677	DNA binding	molecular_function	26.444494059164445	26.793716226825996	26.687907480226876	26.15458942712172	25.514171809182162	27.095320413095504	26.813506714396077	26.96413410059029	46.0	51.0	54.0	62.0	56.0	53.0	2.0	2.0	2.0	2.0	2.0	2.0
GO:0003700	DNA-binding transcription factor activity	molecular_function	19.680494690604263	21.133773289723	18.261421602909067	20.129037692320665	19.773604635253662	21.24791138898808	20.32146763345303	21.638963325023756	3.0	5.0	3.0	5.0	5.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0003723	RNA binding	molecular_function	28.633433286095066	29.384657489374607	28.69957836739233	29.229346838341698	28.45902606348812	29.427102792112123	28.72692978064314	29.48523568419089	135.0	130.0	149.0	159.0	148.0	128.0	6.0	5.0	6.0	6.0	5.0	5.0
GO:0003735	structural constituent of ribosome	molecular_function	28.442485339884467	29.072690570877622	28.56408303565895	28.729347584023433	28.1955614563026	29.197997358331534	28.53924603136322	29.237538089118022	100.0	95.0	104.0	112.0	105.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0003743	translation initiation factor activity	molecular_function	20.845167900415596	23.31728378932528	20.485641277536086	23.297779122124254	20.93378097709157	23.395437455348702	21.055846357781185	23.25502360153008	2.0	3.0	4.0	4.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0003746	translation elongation factor activity	molecular_function	26.880703827399696	27.523884188255334	26.51226212355944	27.34661879939839	27.128154712897164	27.66262227174253	26.93489038173321	27.54490979526312	30.0	31.0	34.0	36.0	33.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	23.64112093560822	24.683582305821854	23.230984830772005	24.44291815066555	23.44500483236154	24.87257842829607	24.100080621864716	24.70317633536541	12.0	12.0	13.0	14.0	12.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
