id	name	namespace	log2fc_WS_over_NS	corrected_p
GO:0047112	pyruvate oxidase activity	molecular_function	5.85826622541049	0.000646796537868283
GO:0008134	transcription factor binding	molecular_function	4.31185677720848	0.000546969128278411
GO:0004455	ketol-acid reductoisomerase activity	molecular_function	3.76267616786309	0.000546969128278411
GO:0000967	rRNA 5'-end processing	biological_process	3.66973171462408	0.0010727653791392
GO:0009404	toxin metabolic process	biological_process	3.64421569421875	0.000546969128278411
GO:0030152	bacteriocin biosynthetic process	biological_process	3.52090737051794	0.000646796537868283
GO:0030650	peptide antibiotic metabolic process	biological_process	3.52090737051794	0.000646796537868283
GO:0019748	secondary metabolic process	biological_process	3.48394791676951	0.000546969128278411
GO:0004180	carboxypeptidase activity	molecular_function	3.3723537685405	0.00312732976985571
GO:0005971	ribonucleoside-diphosphate reductase complex	cellular_component	3.36156310590666	0.000546969128278411
GO:0014070	response to organic cyclic compound	biological_process	3.2627685786015	0.00154988538735321
GO:0009725	response to hormone	biological_process	3.25718925404466	0.00154988538735321
GO:0033993	response to lipid	biological_process	3.25718925404466	0.00154988538735321
GO:0097305	response to alcohol	biological_process	3.25718925404466	0.00154988538735321
GO:1901654	response to ketone	biological_process	3.25718925404466	0.00154988538735321
GO:0005351	carbohydrate:proton symporter activity	molecular_function	3.22767025865329	0.000769385742451271
GO:0031072	heat shock protein binding	molecular_function	3.22184024939262	0.000546969128278411
GO:0015821	methionine transport	biological_process	3.07072740061716	0.00067274141843514
GO:0070395	lipoteichoic acid biosynthetic process	biological_process	3.05439133306538	0.000546969128278411
GO:0006107	oxaloacetate metabolic process	biological_process	3.0433231168363	0.000546969128278411
GO:0019350	teichoic acid biosynthetic process	biological_process	3.04171073429667	0.000546969128278411
GO:0046374	teichoic acid metabolic process	biological_process	3.04171073429667	0.000546969128278411
GO:0008662	1-phosphofructokinase activity	molecular_function	3.02181031766941	0.000593039773403976
GO:0047473	D-alanine [D-alanyl carrier protein] ligase activity	molecular_function	3.0031494404913	0.000546969128278411
GO:0042723	thiamine-containing compound metabolic process	biological_process	2.99310759129631	0.000593039773403976
GO:0004459	L-lactate dehydrogenase activity	molecular_function	2.98815318491247	0.000546969128278411
GO:0003993	acid phosphatase activity	molecular_function	2.98580130549815	0.00623913180052693
GO:0009098	leucine biosynthetic process	biological_process	2.95086272317551	0.000546969128278411
GO:0004160	dihydroxy-acid dehydratase activity	molecular_function	2.93768118503751	0.00207782858959908
GO:0015171	amino acid transmembrane transporter activity	molecular_function	2.90668798801163	0.000546969128278411
GO:0015294	solute:cation symporter activity	molecular_function	2.90522144329518	0.000646796537868283
GO:0009228	thiamine biosynthetic process	biological_process	2.90005828821927	0.000723853966690196
GO:0052908	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity	molecular_function	2.8668189582904	0.000546969128278411
GO:0009374	biotin binding	molecular_function	2.86292732293884	0.00195874754164905
GO:0010033	response to organic substance	biological_process	2.84372659560811	0.00207782858959908
GO:0008184	glycogen phosphorylase activity	molecular_function	2.81476575915375	0.000769385742451271
GO:0009099	valine biosynthetic process	biological_process	2.81011287925126	0.000546969128278411
GO:0006542	glutamine biosynthetic process	biological_process	2.8006260075173	0.000546969128278411
GO:0004004	ATP-dependent RNA helicase activity	molecular_function	2.76051273947258	0.000546969128278411
GO:0009081	branched-chain amino acid metabolic process	biological_process	2.72879509694927	0.000546969128278411
GO:0009082	branched-chain amino acid biosynthetic process	biological_process	2.71714983605368	0.000546969128278411
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	molecular_function	2.70457281053546	0.00195874754164905
GO:0009097	isoleucine biosynthetic process	biological_process	2.6434055355484	0.000546969128278411
GO:0004084	branched-chain-amino-acid transaminase activity	molecular_function	2.63256017143942	0.00195874754164905
GO:0009399	nitrogen fixation	biological_process	2.61918476719852	0.000546969128278411
GO:0052657	guanine phosphoribosyltransferase activity	molecular_function	2.60200580905992	0.000546969128278411
